,Title,Intensity figure,Metric numerator (Gross global combined Scope 1 and 2 emissions),Metric denominator,Metric denominator: Unit total,Scope 2 figure used,% change from previous year,Direction of change,Reason for change
43,Suzuki Motor Corporation - Climate Change 2019,3622474,1209182,vehicle produced,3338000,Market-based,0.3,Decreased,"Production in the year of the report, which is the denominator figure, increased by 264,000 units (8.6%) from the previous year. On the other hand, with regard to GHG emissions, which is the numerator, we implemented CO2 reduction initiatives such as &quot;Adjustment and optimization of equipment operating conditions&quot;, &quot;Consolidation and miniaturization of facilities&quot;, &quot;Loss reduction; halt of energy supply when the line is stopped, turn lights off when not needed, and etc., &quot;, &quot;conversion to high-efficiency equipment such as inverters&quot;. Due to the increase in the number of production units, the increase in GHG emissions was able to be reduced, resulting in an improvement in the emissions unit value per production for the reported year."
44,Mazda Motor Corporation - Climate Change 2020,0.19,652070,"Other, please specify (Revenue in 100 million yen)",3430285,Location-based,99.41,Decreased,"As Mazda group makes various effort to reduce GHG emissions, the total Scope 1+2 emissions decreased approximately 4 %."
45,Navistar International Corporation - Climate Change 2020,19.3,216900,unit total revenue,11251,Location-based,8,Decreased,"Reduction attributed primarily to site\'s efforts in reducing electric use, especially focused on non-production time and load ratio monitoring ,emission reduction initiative as reported in relevant Scope in C4.3b, please see section. Increased demand for products, efficiency and increased revenue are contributors. Energy intensity (including HDD and CDD) was reduced by 1%, including significant production increase of 26% over 2018, thus added revenue."
46,Navistar International Corporation - Climate Change 2020,17.6,216900,full time equivalent (FTE) employee,12300,Location-based,8,Increased,"Increase attributed primarily to increased efficiency utilizing 6% less employees over 2018, with 26% increase in demand for our product. The slight 1% absolute increase of GHG in 2019 exacerbated the increase in FTE normalization."
47,Navistar International Corporation - Climate Change 2020,2,216900,vehicle produced,106500,Location-based,21,Decreased,"Reduction attributed primarily to site\'s efforts in reducing electric use, especially focused on non-production time and load ratio monitoring , emission reduction initiative as reported in relevant Scope in C4.3b. Please see section.. Increased demand for products, including significant production increase of 26% over 2018, and overall efficiency gain are contributors."
48,Navistar International Corporation - Climate Change 2020,0.027,216900,square foot,7955784,Location-based,22.7,Increased,Reduction of 17% or nearly 2 million square feet of space as compared to previous year.
49,Isuzu Motors Limited - Climate Change 2019,19.5,220388,"Other, please specify (\xe5\xa3\xb2\xe4\xb8\x8a\xe9\xab\x98\xef\xbc\x88\xe5\x84\x84\xe5\x86\x86\xef\xbc\x89\xe3\x80\x80sales( million JPY ))",11308,Market-based,3,Decreased,"Increased sales and other factors increased energy usage, which then increased CO2 emissions by 1.1%. This increase was smaller than expected thanks to various energy-saving activities and the intensity figure was improved, while sales increased 4.3%. In fiscal 2018, a last-minute rise in demand before the enforcement of new emissions regulations raised the number of orders for trucks, which pushed up the overall sales."
50,Groupe PSA - Climate Change 2018,0.00001353,609285,unit total revenue,45028000000,Location-based,21.7,Decreased,"An internal study has been managed in 2016 to build the path of CO2 emission reduction of industrial activities, and identify the main parameters which influence energy consumption. This study proposes targets for 2025, 2035 and 2050. To reach these objectives, PSA\xe2\x80\x99 strategy takes into account the following elements, which contribute to reduce influence of some parameters on energy use: - Daily control of energy consumption to identify deviation and implement immediate corrective action - Implementation of processes using less energies, for new processes, but also by improving existing processes - Surface reduction of plants. - Use of an increasing part of renewable energies. In 2017, CO2 per car was significantly reduced, even though part of renewable was not as high as expected, because of underperformance of EDF in supply of such energies. As a complement, plants of Trnava and Porto Real have specific contract to receive electricity 100% from renewables."
51,Hyundai Motor Co - Climate Change 2020,0.026,2709093,"Other, please specify (Revenue Total (per million))",105746422,Location-based,11.8,Decreased,"Reason for change: As Hyundai Motor Company is a large company with glboal operations, research facilities, and headquarters building, it is difficult to accurately determine the cause of the change in scope 1, 2 emissions. However, various emission reduction activities such as the application of high-efficiency motors for business facilities, energy inverter replacement, remote controlling of air conditioning facilities, and LED lighting replacement have been undertaken, and those activities made Scope 1 emissions in 2019 decreased by 7.6% compared to 2018. Also, in 2019, a 4MW solar power generation system was built in the Ulsan plant and the amount of new renewable energy installed was expanded, reducing Scope 2 emissions by about 2%. Furthermore, sales revenue increased in 2019, resulting in decrease of intensity. Notes: The ORS system only allows to type limited to six decimal, we choose the denominator of intenstify figurase as &quot;other, please specify: revenue total(per million)&quot;"
52,Hyundai Motor Co - Climate Change 2019,0.0152296,2751306,"Other, please specify (total capital (per one hundred million KRW))",180655752,Location-based,0.17,Decreased,"The company performed reduction activities actively along with planning greenhouse gas emissions and checking the performance, enhancing energy assessment/promotion activities, Improving efficiency in using energy multi-cost processes, expanding investment of energy reduction, developing eco-friendly products and improving efficiency of vehicles production, improving fuel-efficiency, and etc. Due to that initiatives, intensity figures of 2018 decreased 0.17% despite of increased total capital of HMC. -2018 GHG emissions : 2,751,306 tCO2eq, 2018 total capital (100 million KRW) : 180,655,752, intensity figure: 0.0152296 -2017 GHG emissions : 2,718,503 tCO2eq, 2017 sales(100 million KRW) : 178,199,454, intensity figure: 0.0152554 -Rate of change compared to last year: (0.0152296 - 0.0152554) / 0.0152554 *100) = - 0.17 %"
53,BYD - Climate Change 2020,,,,,,,,
54,Suzuki Motor Corporation - Climate Change 2020,0.3073,1189873,unit total revenue,3871496,Market-based,4.5,Decreased,"The basic unit turned to decrease for consolidated sales in the reporting year, which is the denominator, exceeded sales in the previous year, which was the highest ever, by 114.3 billion yen (3.0%)."
55,Suzuki Motor Corporation - Climate Change 2020,350.5815,1189873,vehicle produced,3394,Market-based,3.2,Decreased,"Production in the year of the report, which is the denominator figure, increased by 56,000 units (1.7%) from the previous year. On the other hand, with regard to GHG emissions, which is the numerator, we implemented CO2 reduction initiatives such as &quot;Adjustment and optimization of equipment operating conditions&quot;, &quot;Consolidation and miniaturization of facilities&quot;, &quot;Loss reduction; halt of energy supply when the line is stopped, turn lights off when not needed, and etc., &quot;, &quot;conversion to high-efficiency equipment such as inverters&quot;. Due to the increase in the number of production units, the increase in GHG emissions was able to be reduced, resulting in an improvement in the emissions unit value per production for the reported year."
56,Mazda Motor Corporation - Climate Change 2019,0.201,717030,"Other, please specify (Revenue in 100 million yen)",3564696,Location-based,98.4,Decreased,"As Mazda group makes various effort to reduce GHG emissions, therefore although Mazda\'s consolidated revenue increased approximately 3 % more than the previous fiscal year, the total Scope 1+2 emissions decreased approximately 2 %."
57,Navistar International Corporation - Climate Change 2019,20.88,213997,unit total revenue,10250,Location-based,20,Decreased,"Reduction attributed primarily to site\'s efforts in reducing electric use, especially focused on non-production time and load ratio monitoring. Increased demand for products, efficiency and increased revenue are contributors."
58,Navistar International Corporation - Climate Change 2019,16.3,213997,full time equivalent (FTE) employee,13100,Location-based,16.8,Decreased,"Reduction attributed to site\'s efforts in reducing energy use, especially focused on non-production time and load ratio monitoring."
59,Navistar International Corporation - Climate Change 2019,0.0222,213997,square foot,9626239,Location-based,15.8,Increased,Reduction of 16.8% or nearly 2 million square feet of space as compared to previous year.
60,Isuzu Motors Limited - Climate Change 2020,12.7,263755,unit total revenue,20799,Market-based,37,Decreased,The target range was expanded not only in Japan but also globally.
61,Volkswagen AG - Climate Change 2019,0.0000354,8359513,unit total revenue,235849000000,Market-based,12,Decreased,"The sales revenue increased by 2.7 % compared to 2017. Also the CO2 emissions have been decreased by 9.2% through emission reduction activities and the purchase of more renewable energy. One example for reduction activities: Painting vehicle bodies is the most energy-intensive process. Most energy-related analyses thus focus on this area. In the reporting period, 165,000 MWh of energy and 34,000 t of CO\xe2\x82\x82 was saved at Group sites through optimization measures in the paint shops. (please note that the revenue figure and resulting intensity provided last year referred to revenues from the automotive business only. This year the figure refers to total Group revenue. For calculating the &quot;% change from previous year&quot; the intensity for 2017 has also been recalculated per total Group revenue, to ensure comparability)."
62,Volkswagen AG - Climate Change 2019,0.756,8359513,vehicle produced,11018000,Market-based,10,Decreased,"The production volume increased by 1,1 % compared to 2017 (production (units) across all segments). Also the CO2 emissions have been decreased by 9.2% through emission reduction activities and the purchase of more renewable energy. One example for reduction activities: Painting vehicle bodies is the most energy-intensive process. Most energy-related analyses thus focus on this area. In the reporting period, 165,000 MWh of energy and 34,000 t of CO\xe2\x82\x82 was saved at Group sites through optimization measures in the paint shops."
63,Renault - Climate Change 2019,0.00002119,1216711,unit total revenue,57419000000,Market-based,3.08,Decreased,"Decrease of Scope 1+ 2 emissions due to investment in energy efficiency and new low carbon electricity supply contracts,"
64,Ford Motor Company - Climate Change 2018,0.0000334,4873571,unit total revenue,145700000000,Location-based,0,No change,This is the first year reporting a total gross scope 1+2 emissions with the addition of non-manufacturing locations (global office buildings) to the gross scope 1 + scope 2 totals in 2017
65,Ford Motor Company - Climate Change 2018,0.74,4873571,vehicle produced,6602888,Location-based,0,No change,This is the first year reporting a total gross scope 1+2 emissions with the addition of non-manufacturing locations (global office buildings) to the gross scope 1 + scope 2 totals in 2017
66,PACCAR Inc - Climate Change 2018,0.000013,275463,unit total revenue,21145700000,Location-based,14,Decreased,"Revenue increased and absolute greenhouse gas emissions decreased in 2017 from 2016 such that revenue intensity decreased by 14% year over year. In addition, revenue intensity is 21% lower in 2017 compared with base year 2013. PACCAR has surpassed our target of 15% reduction in revenue intensity by 2020. Energy efficiency projects, a shift to cleaner fuels such as natural gas, reduced electricity efficiency factors and a revenue increase of 14% contributed to the reduction in revenue intensity between 2016 and 2017. An example of energy efficiency projects implemented in 2017 includes replacement of lighting with LEDs at many of our facilities. Revenue is adjusted for currency exchange changes relative to baseline year 2013."
67,PACCAR Inc - Climate Change 2018,1.7,275463,unit of production,158900,Location-based,13,Decreased,"New truck deliveries increased and absolute greenhouse gas emissions decreased in 2017 compared with 2016 such that emissions intensity for new truck deliveries decreased by 13%. In addition, emissions intensity based of new truck deliveries is 16% lower in 2017 compared with base year 2013. Energy efficiency projects, a shift to cleaner fuels such as natural gas, reduced electricity efficiency factors and an increase in truck deliveries contributed to the reduction in revenue intensity between 2016 and 2017. An example of energy efficiency projects implemented in 2017 includes replacement of lighting with LEDs at many of our facilities."
68,Mahindra &amp; Mahindra - Climate Change 2019,5.225e-7,280120,unit total revenue,536140000000,Market-based,3.87,Decreased,"Mahindra and Mahindra Ltd. comprises of - Auto Division (AD) - Nashik Plant 2 (AD) - Farm Division (FD) - Swaraj Division(SD) - Swaraj Foundry (SD) - Spares Business Unit(SBU) - Mahindra Research Valley(MRV) - Corporate Centre, Worli Mumbai (CC) - Mahindra Two Wheeler Division (MTWD) F2019 Intensity Metric: 0.0000005225 tCO2e/ INR 3.87% REDUCED w.r.t. F2018 F2019 Numerator: M&amp;M\'s Scope 1+2 emissions (Market based) : 280,120 tCO2e F2019 Denominator: Unit total revenue: INR 536,140,000,000/- Rise of 8.43% over previous for year. F2018 Intensity Metric: 0.0000005435 tCO2e /INR F2018 Numerator: M&amp;M\'s Scope 1+2 emissions (Market based) : 2,68,727 tCO2e F2018 Denominator: Unit total revenue: INR 4,94,45,00,00,000/- Rise of 4.35% over previous for year. However, not all locations contribute to revenue generation directly, hence metric of Intensity = t CO2e / unit of total revenue is NOT RELEVANT, Hence, we measure the relevant metric as follows: 1) For Automotive division tCO2e /Equivalent Vehicle produced (44%) 2) For Farm +Swaraj Division tCO2e /Equivalent Tractors produced , (43%) both Metrics combined represent 87% of total Gross Scope 1+2 emissions. (t CO2e)"
69,Mahindra &amp; Mahindra - Climate Change 2019,0.191,123060,"Other, please specify (Equivalent Vehicles produced in Automotive division)",644212,Market-based,3.26,Increased,"F19 Automotive Division contributes to 44% of M&amp;M Emissions Reason for increase in Scope 1+2 combined emission: We have widened the scope of reporting with the inclusion of Mahindra Two Wheeler Division which was previously a subsidiary and has become a part of M&amp;M Ltd in the year 2018 which has also lead to an increase in Emissions. There was an extraordinary consumption of diesel for testing of new products prior to launch. 4 COMPLETELY NEW platforms (Marrazzo, XUV300, Alturas G4, JAWA) were launched in one year which is a very rare occurrence. In addition, there were 5 other product launches/ refreshes. Calculations: F19 Automotive Division Metric numerator (Gross global combined Scope 1 and 2 emissions) = 123,060 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Vehciles produced =644,212 Nos F19 Intensity = 123,060 tCO2e/ 644,212 Nos = 0.191 tCO2e F18 Automotive Division Metric numerator (Gross global combined Scope 1 and 2 emissions) = 112,843 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Vehciles produced =608,807 Nos F18 Intensity = 112,843 tCO2e/ 608,807 Nos = 0.185 tCO2e Change in F19 against F18 = (0.185-0.191)/0.185 = 3.26% i.e. Increase in Specific GHG Emissions by 3.26% per Equivalent Vehicle produced. Note: Equivalent Vehicle Calculation methodology revised in F19 hence F18 Equivalent Vehicle numbers revised accordingly."
70,Mahindra &amp; Mahindra - Climate Change 2019,0.177,90653,"Other, please specify (Equivalent Tractors produced in Farm Equivalent + Swaraj division)",512739,Market-based,7.2,Decreased,"F19 Farm Equivalent + Swaraj Division contributes to 43% of M&amp;M Emissions Reason for the decrease in Scope 1+2 combined emission: We have implemented Energy efficiency projects and increased the Renewable Power by setting up 2.1MW windmill &amp; 2MWp Solar added within plant premises for CAPTIVE use. Calculations: F19 Farm Equivalent + Swaraj Division Metric numerator (Gross global combined Scope 1 and 2 emissions) = 90,653 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Vehicles produced = 512739 Nos F19 Intensity = 90,653 tCO2e/ 512739 Nos = 0.177 tCO2e F18 Farm Equivalent + Swaraj Division Metric numerator (Gross global combined Scope 1 and 2 emissions) = 93,030 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Vehicles produced = 488,478 Nos F18 Intensity = 93,030 tCO2e/ 488,478 Nos = 0.190 tCO2e Change in F19 against F18 = (0.190-0.177)/0.190 = 7.2% i.e. Decrease in Specific GHG Emissions by 7.2% per Equivalent tractors produced."
71,"Nissan Motor Co., Ltd. - Climate Change 2020",0.26,2938606,unit total revenue,11217600,Market-based,5.2,Increased,"Net revenue decreased by 13.5% compared to FY18, though vehicle production output also reduced. As a result, no substantial change was observed in the index, which remained at 0.26 tCO2/million yen."
72,"Nissan Motor Co., Ltd. - Climate Change 2020",0.62,2938606,vehicle produced,4930000,Market-based,1.8,Increased,Emission reduction activities including purchasing lower carbon electricity and energy efficiency improvement activities continued at global manufacturing/non-manufacturing sites. The index deteriorated as the plant stopped production in certain places which affected by COVID-19.
73,Mahindra &amp; Mahindra - Climate Change 2018,0.185346538,112840,vehicle produced,608807,Market-based,3.44,Decreased,"Automotive Division Intensity figure for reporting period has reduced to 0.185 tCO2e / Equivalent Vehicle from 0.192 tCO2e/ Equivalent Vehicle in previous year mainly due to VOLUNTARY Energy efficiency projects, process improvements and other initiatives for ENERGY PRODUCTIVITY and to reduce GHG emissions of Automotive division."
74,Mahindra &amp; Mahindra - Climate Change 2018,0.19,93030,unit of production,488478,Market-based,6.86,Decreased,"Farm+Swaraj Division Intensity figure for reporting period has reduced to 0.190 tCO2e / Equivalent tractor from 0.204 tCO2e/ Equivalent tractor in previous year mainly due to Energy efficiency projects, process improvements and other initiatives for ENERGY PRODUCTIVITY and to reduce GHG emissions of Farm + Swaraj division. F18: Metric numerator (Gross global combined Scope 1 and 2 emissions)=93,030 tCO2e F18: Metric denominator: Unit total=488,478 Eq. tractors produced F18: Intensity = 93030/488478 = 0.190 tCO2e / Eq. tractors produced F17: Metric numerator (Gross global combined Scope 1 and 2 emissions)= 86,539 tCO2e F18: Metric denominator: Unit total= 423592 Eq. tractors produced F17 Intensity = 86539/423592 = 0.204 tCO2e / Eq. tractors produced F18 Vs F17 change: Numerator = (0.204-0.190) tCO2e Denominator = 0.190 tCO2e Change from previous year= 6.86% Reduced"
75,Mahindra &amp; Mahindra - Climate Change 2018,0,270994,unit total revenue,494450000000,Location-based,3.7,Decreased,"Mahindra and Mahindra Ltd. comprises of - Auto Division (AD) - Nashik Plant 2 (AD) - Farm Division (FD) - Swaraj Division(SD) - Swaraj Foundry (SD) - Spares Business Unit(SBU) - Mahindra Research Valley(MRV) - Corporate Centre, Worli Mumbai (CC) F2018 Intensity Metric: 0.00000055 tCO2e /INR 3.7% Reduced w.r.t. F2017 F2018 Numerator: MnM\'s Scope 1+2 emissions (Location based) : 270994 tCO2e which has Increased by 0.5 % compared to previous year. F2018 Denominator:Unit total revenue: INR 4,94,45,00,00,000/- Rise of 4.35% over previous for year. F2017 Intensity Metric: 0.00000057 tCO2e /INR F2017 Numerator: MnM\'s Scope 1+2 emissions (Location based) : 269778 tCO2e F2017 Denominator: MnM\'s Unit total Revenue: INR 473,840,000,000/- However, not all locations contribute to revenue generation directly, hence metric of Intensity = t CO2e / unit of total revenue is NOT RELEVANT, Hence, we measure the relevant metric as follows: 1) For Automotive division tCO2e /Equivalent Vehicle produced (42%) 2) For Farm +Swaraj Division tCO2e /Equivalent Tractors produced , (34.6%) both metrics combined together represents 77% of total Gross Scope 1+2 emissions.(t CO2e) For Auto Division and Farm + Swaraj Division the intensity has reduced more than 3% in each divisions same has been given above"
76,Ford Motor Company - Climate Change 2019,0.0000299,4792771,unit total revenue,160300000000,Location-based,10,Decreased,Decreased total emissions with increase in revenue. The 2017 intensity figure was 0.0000334 with gross total emissions of 4873571 and gross revenue of 145700000000. This allowed for a decrease of 10% using ((0.0000334-0.0000299)/0.0000334)). Energy improvement projects at manufacturing locations lead to the total decrease in emissions. Our connection to other frameworks includes our TCFD Metrics &amp; Targets and UN SDG 13-Climate Action
77,Ford Motor Company - Climate Change 2019,0.8,4792771,vehicle produced,5962289,Location-based,8,Increased,Additional non-manufacturing locations (global office buildings) added to the gross scope 1 + scope 2 totals in 2018 with a 10% decrease in global production. Additional non-manufacturing locations accounted for an increase of 2.7% in the gross scope 1 and 2 emissions. The 2017 intensity figure was 0.74 with gross total emissions of 4873571 and total production of 6602888. This resulted in a 8% increase in emissions per vehicle produced ((0.74-0.80/0.74)). A 10% decrease in production was partially off-set by energy improvement projects at manufacturing locations. Our connection to other frameworks includes our TCFD Metrics &amp; Targets and UN SDG 13-Climate Action
78,PACCAR Inc - Climate Change 2019,0.0000117,292716,unit total revenue,25107700000,Location-based,10,Decreased,"Revenue increased and cumulative energy reduction efforts reduced related greenhouse gas emissions in 2018 from 2017 such that revenue intensity decreased by 10% year over year. In addition, revenue intensity is 29% lower in 2018 compared with base year 2013. PACCAR surpassed our target of 15% reduction in revenue intensity by 2020. Energy efficiency projects, a shift to cleaner fuels such as natural gas and a revenue increase of 19% contributed to the reduction in revenue intensity between 2017 and 2018. An example of energy efficiency projects implemented in 2018 includes replacement of lighting with LEDs at many of our facilities and upgrading engine test cells to co-generate electricity during testing to augment energy use at the test facility. Revenue is adjusted for currency exchange changes relative to baseline year 2013."
79,PACCAR Inc - Climate Change 2019,1.5,292716,unit of production,189100,Location-based,11,Decreased,"New truck deliveries increased and cumulative energy reduction efforts reduced relative greenhouse gas emissions intensity in 2018 compared with 2017 such that emissions intensity for new truck deliveries decreased by 11%. In addition, emissions intensity based of new truck deliveries is 25% lower in 2018 compared with base year 2013. Energy efficiency projects, a shift to cleaner fuels such as natural gas, and an increase in truck deliveries contributed to the reduction in revenue intensity between 2017 and 2018. An example of energy efficiency projects implemented in 2018 includes replacement of lighting with LEDs at many of our facilities and upgrading engine test cells to co-generate electricity during testing to augment energy use at the test facility."
80,Renault - Climate Change 2018,0.387,1284969,vehicle produced,3318534,Market-based,0.25,Decreased,"Scope 1 and 2 Carbon intensity per unit of vehicule produced decreased by 0,25%, due to emissions reduction activities (see C4.3)"
81,Renault - Climate Change 2018,0.00002186,1284969,unit total revenue,58770000000,Market-based,7.8,Decreased,"The combined scope 1 and 2 carbon intensity per unit of total Revenue decreased by 7,8 % due to emissions reduction activities (see C.4.3)."
82,Daimler AG - Climate Change 2018,0.00001798,2955000,unit total revenue,164330000000,Market-based,6.2,Decreased,"We constantly introduce new energy and emission reduction measures to increase the efficiency of our operations and decrease GHG emissions. Each year we evaluate the potential for energy reduction and we introduce new projects. Moreover, we have expanded our capacity for combined heat and power generation (CHP) where we use low-carbon fuels (natural gas). In 2017, our revenue increased to \xe2\x82\xac164,330 million (\xe2\x82\xac153,261 million in 2016). Combined Scope 1 and 2 emissions increased to 2,955,000 metric tonnes (2,938,000 metric tonnes in 2016). The reduction of CO2 emissions as a result of our energy and emission reduction measures combined with an increase in revenue led to a 6.2% decrease of the given intensity figure from 2016 (0.00001917 metric tonnes CO2/\xe2\x82\xac) to 2017 (0.00001798 metric tonnes CO2/\xe2\x82\xac)."
83,Daimler AG - Climate Change 2018,0.843,1530180,unit of production,1814839,Market-based,1.73,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Mercedes-Benz Cars. We managed again to reduce the energy and GHG intensity of our production of Mercedes-Benz Cars year by year. Moreover, we have expanded our capacity for combined heat and power generation (CHP) where we use low-carbon fuels (natural gas). We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures."
84,Daimler AG - Climate Change 2018,1.844,878682,unit of production,476443,Market-based,12.39,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Daimler Trucks. We managed again to reduce the energy and GHG intensity of our production of Daimler Trucks year by year. Moreover, we have expanded our capacity for combined heat and power generation (CHP) where we use low-carbon fuels (natural gas). We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures."
85,Daimler AG - Climate Change 2018,0.507,174987,unit of production,345151,Market-based,11.52,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Mercedes-Benz Vans. We managed again to reduce the energy and GHG intensity of our production of Daimler Trucks year by year. Moreover, we have expanded our capacity for combined heat and power generation (CHP) where we use low-carbon fuels (natural gas). We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures."
86,Daimler AG - Climate Change 2018,2.458,70099,unit of production,28518,Market-based,13.02,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Daimler Buses. Only the Daimler Busses unit couldn\xc2\xb4t reduce its specific emissions despite of various efforts. Reasons of that were the reduced sales of Busses while constant energy consumption and energy intensive model changes. We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures."
87,Daimler AG - Climate Change 2018,0.996,2653947,unit of production,2664951,Market-based,4.53,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for Daimler. We managed again to reduce the energy and GHG intensity of our production of Daimler vehicles year by year. Moreover, we have expanded our capacity for combined heat and power generation (CHP) where we use low-carbon fuels (natural gas)."
88,Volkswagen AG - Climate Change 2018,0.0000467,9204798,unit total revenue,196949000000,Market-based,8.3,Decreased,"The sales revenue increased by 5.6 % compared to 2016. Also the CO2 emissions have been decreased through emission reduction activities and the purchase of more renewable energy. Description of an exemplary reduction activity: a) Installation of new air handling units with heat recovery systems at the Hanover plant of Volkswagen. This saves electricity as well as heat energy and accounts for a CO2 reduction of about 5000 tons. b) New combined heat and power plant at the Munich site of MAN. The two 2.5-megawatt natural gas generators supply power and heat to the production and administration facilities. A significant share of the electricity required at the plant can now be generated directly on site. The heat created in the process is used to supply production facilites and buildings. By producing its own heat and power and thus increasing efficiency, MAN Truck &amp; Bus is saving a single-digit million euro amount a year on energy costs, as well as 9,500 tons of CO2 emissions."
89,Volkswagen AG - Climate Change 2018,0.857,9204798,vehicle produced,10741455,Market-based,7.5,Decreased,"The production volume increased by 3.1 % compared to 2016. Also the CO2 emissions have been decreased through through emission reduction activities and the purchase of more renewable energy. Description of an exemplary reduction activity: a) Installation of new air handling units with heat recovery systems at the Hanover plant of Volkswagen. This saves electricity as well as heat energy and accounts for a CO2 reduction of about 5000 tons. b) New combined heat and power plant at the Munich site of MAN. The two 2.5-megawatt natural gas generators supply power and heat to the production and administration facilities. A significant share of the electricity required at the plant can now be generated directly on site. The heat created in the process is used to supply production facilites and buildings. By producing its own heat and power and thus increasing efficiency, MAN Truck &amp; Bus is saving a single-digit million euro amount a year on energy costs, as well as 9,500 tons of CO2 emissions."
90,Groupe PSA - Climate Change 2020,0.00002151,1225119,unit total revenue,56963000000,Market-based,8,Decreased,"An internal study has been managed in 2016 to build the path of CO2 emission reduction of industrial activities and identify the main parameters which influence energy consumption. This study proposes targets for 2025, 2035 and 2050. To reach these objectives, PSA\xe2\x80\x99 strategy takes into account the following elements, which contribute to reduce influence of some parameters on energy use: &gt; Daily control of energy consumption to identify deviation and implement immediate corrective action &gt; Implementation of processes using less energies, for new processes, but also by improving existing processes &gt; Surface reduction of plants. &gt; Use of an increasing part of renewable energies."
91,Navistar International Corporation - Climate Change 2018,26.1,223372,unit total revenue,8570,Location-based,11,Decreased,"Reduction attributed to site\'s efforts in reducing energy use, especially focused on non-production time and load ratio monitoring. Note: RY2016 mistakenly listed CC12.2 denominator, &quot;Unit of total revenue&quot; as 10140, which was the previous year\'s value. This RY16 CC12.2 revenue should have been 8,111, for an intensity figure of 29.4, a 12.7% reduction in RY16, not the reported 30% reduction."
92,Navistar International Corporation - Climate Change 2018,19.6,223372,full time equivalent (FTE) employee,11400,Location-based,7,Decreased,"Reduction attributed to site\'s efforts in reducing energy use, especially focused on non-production time and load ratio monitoring."
93,Navistar International Corporation - Climate Change 2018,0.019,223372,square foot,11573688,Location-based,8,Decreased,First Year reported in these units.
94,Mazda Motor Corporation - Climate Change 2018,0.217,752240,"Other, please specify (Revenue in 100 million yen)",3474024,Location-based,104.5,Increased,"As the production volume increased, GHG emissions increased accordingly. On the other side, the intensity per total revenue was improved."
95,General Motors Company - Climate Change 2020,0.000039,5311575,unit total revenue,137237000000,Market-based,1,Decreased,"Revenue decreased by 7% and absolute GHG decreased by 7% due to RE-100 implementation and energy efficiency projects, like LED lights, building management systems, and process optimization. Revenue intensity is not a good measure for automobile manufacturing as revenue is more dependent on vehicle content as opposed to energy used in operations. Energy cost is &lt;1% of revenue and is insignificant compared to revenue. Energy use in operations does not correlate to vehicle content or revenue, but rather vehicle production, climate, size of vehicles (wheelbase), and plant utilization according to US EPA Energy Star benchmarking."
96,General Motors Company - Climate Change 2020,0.72,5311575,vehicle produced,7332373,Market-based,8,Increased,"GM experienced a 13% year over year volume reduction in 2019 vs. 2018 and absolute GHG decreased by 7% due to RE-100 implementation and energy efficiency projects, like LED lights, building management systems, and process optimization. Energy use and volume do not have a 1:1 relationship as manufacturing has a fixed energy load during non-production. The best energy shutdown we experienced in 2019 was in the 90% range during US work stoppage which minimized the impact. Additionally, we idled some facilities due to lower car sales compared to trucks and SUVs and launched many new vehicle models. Energy Performance Contracts (EPC) based on shared savings, represents the method with the most energy reduction and in 2019, GM had multiple plants and facilities with EPC\'s underway. EPC projects range from complete steam elimination, LED lights, HVAC optimization, and other energy conservation measures."
97,General Motors Company - Climate Change 2020,0.38,2778316,vehicle produced,7332373,Market-based,7,Decreased,"As Auto OEMs have various levels of manufacturing integration and outsource at different levels, a good measure of how much energy per vehicle is to focus on Vehicle Assembly Plants. Vehicle Assembly plants are about 60% of our total energy use and representative of vehicle manufacturing - Stamping, Body weld, Paint, and Assembly. Whereas, other parts manufacturing - Engine, Transmission, Battery, Casting, and smaller parts manufacturing insourcing vs. outsourcing varies by OEM. Energy Performance Contracts (EPC) based on shared savings, represents the method with the most energy reduction and in 2019, GM had multiple plants and facilities with EPC\'s underway. EPC projects range from complete steam elimination, LED lights, HVAC optimization, and other energy conservation measures."
